Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
GRCh38_ENSG00000104835,GRCh38_SARS2,20,0.57208,4,-1.8840,19,0.44721,9,-0.7481,30,1.27473,15,0.14686
GRCh38_ENSG00000128626,GRCh38_MRPS12,39,-0.8447,53,-0.4026,28,-1.3433,70,0.08076,114,0.89567,80,0.39438
GRCh38_ENSG00000161243,GRCh38_FBXO27,3,-2.3969,22,0.72022,6,-1.4316,22,0.66187,6,-1.4559,16,0.17262
GRCh38_ENSG00000188505,GRCh38_NCCRP1,17,-3.2753,495,2.73995,82,-1.0125,148,-0.1179,16,-3.4168,59,-1.7439
GRCh38_ENSG00000130755,GRCh38_GMFG,78,1.05025,26,-0.8035,84,1.16723,39,-0.1201,47,0.19229,26,-0.8856
GRCh38_ENSG00000179134,GRCh38_SAMD4B,33,-0.9043,65,0.18514,76,0.42301,49,-0.3320,66,0.18777,62,0.10132
GRCh38_ENSG00000006712,GRCh38_PAF1,16,-0.8646,33,0.22682,37,0.38085,37,0.46316,30,0.04199,22,-0.5143
GRCh38_ENSG00000063322,GRCh38_MED29,20,-0.9511,41,0.17044,50,0.47559,30,-0.3829,31,-0.2899,44,0.31707
GRCh38_ENSG00000128016,GRCh38_ZFP36,59,-0.5019,110,0.56500,98,0.30451,64,-0.4290,46,-0.8987,88,0.15965
GRCh38_ENSG00000090924,GRCh38_PLEKHG2,35,0.33230,26,-0.2134,62,1.27654,19,-0.6977,38,0.44336,21,-0.5783
GRCh38_ENSG00000105193,GRCh38_RPS16,964,-0.2369,849,-0.4826,796,-0.5367,1097,-0.0354,1412,0.37698,1376,0.44676
GRCh38_ENSG00000196235,GRCh38_SUPT5H,75,-0.1571,69,-0.3425,95,0.21572,88,0.08912,85,0.03995,88,0.12048
GRCh38_ENSG00000105197,GRCh38_TIMM50,35,0.22210,16,-1.0395,20,-0.6207,28,-0.1671,60,1.13916,33,0.20546
GRCh38_ENSG00000176396,GRCh38_EID2,7,-1.1838,11,-0.6460,19,0.21762,14,-0.3119,23,0.50233,22,0.62290
GRCh38_ENSG00000105202,GRCh38_FBL,74,-0.2862,42,-1.2204,68,-0.4175,86,-0.0481,169,1.08313,105,0.37687
GRCh38_ENSG00000275395,GRCh38_FCGBP,48,0.57087,85,2.01466,28,-0.2703,13,-1.4837,17,-0.9930,15,-1.4387
GRCh38_ENSG00000013275,GRCh38_PSMC4,64,-0.4317,77,-0.1467,68,-0.3423,69,-0.3412,139,0.83359,92,0.19419
GRCh38_ENSG00000197782,GRCh38_ZNF780A,8,-0.3075,5,-1.1190,3,-1.8685,2,-2.2362,18,0.92937,20,1.56933
